"Стаття","Назва","Спеціальності","Джерело","Лікар: статус","Лікар: ПІБ і дата","Юрист: статус","Юрист: ПІБ і дата","Зауваження"
"49","Хвороби порожнини рота, слинних залоз та щелеп","Стоматолог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6705:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2049","Очікує","","Очікує","",""
"50","Гінгівіт і хвороби пародонту","Стоматолог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6706:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2050","Очікує","","Очікує","",""
"51","Щелепно-лицьові аномалії","Стоматолог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6710:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2051","Очікує","","Очікує","",""
"52","Хвороби стравоходу, шлунка та кишечнику","Терапевт; Хірург","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6725:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2052","Очікує","","Очікує","",""
"53","Виразкова хвороба","Терапевт; Хірург","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6757:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2053","Очікує","","Очікує","",""
"54","Хвороби печінки, жовчних шляхів і підшлункової залози","Терапевт; Хірург","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6777:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2054","Очікує","","Очікує","",""
"55","Грижі","Хірург","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6798:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2055","Очікує","","Очікує","",""
"56","Стани після хвороб органів травлення","Терапевт; Хірург; Стоматолог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6812:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2056","Очікує","","Очікує","",""
"57","Інфекційні, бульозні та запальні хвороби шкіри","Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6816:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2057","Очікує","","Очікує","",""
"58","Інші хвороби шкіри та її придатків","Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6821:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2058","Очікує","","Очікує","",""
"59","Стани після гострих хвороб шкіри","Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6825:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2059","Очікує","","Очікує","",""
"60","Запальні артропатії та системні хвороби сполучної тканини","Терапевт; Хірург; Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6828:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2060","Очікує","","Очікує","",""
"61","Артрози, хвороби м’яких тканин, остеопатії","Хірург","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6836:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2061","Очікує","","Очікує","",""
"62","Набуті деформації та дефекти кінцівок","Хірург","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6869:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2062","Очікує","","Очікує","",""
"63","Відсутність кінцівки","Хірург","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6909:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2063","Очікує","","Очікує","",""
"64","Хвороби хребта та їх наслідки","Хірург; Невролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6911:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2064","Очікує","","Очікує","",""
"65","Стани після хвороб кістково-м’язової системи","Хірург; Невролог; Терапевт","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6941:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2065","Очікує","","Очікує","",""
"66","Хвороби нирок","Терапевт; Хірург","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6944:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2066","Очікує","","Очікує","",""
"67","Хвороби сечовивідної системи","Терапевт; Хірург","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n6964:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2067","Очікує","","Очікує","",""
